"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009415","BP","GO:0009415","response to water","89/1852","408/22026",3.417544391309e-17,5.93720666526501e-15,5.03638120824485e-15,"ANAC072/AtEWR1/APUM5/AIRP1/UBC32/ANAC019/ATWRKY57/PPRT1/ATTIL/Raf43/ATMYB2/ATBI-1/STMP6/AZF2/RD19/ATCML9/ERD6/ATGRP-3/STMP4/CARK1/AtMAX2/LRK10L1.1/RGLG2/ANAC047/RD21/ATMBF1C/ATPCAP1/PIP1;3/AT-POX/ESL1/ZIFL1/AKR4C8/ATGSTU19/UBC34/ALDH7B4/ATMGL/ATXDH1/Rap2.6L/AtOCT4/AtCOR47/AtOCT5/ATSTP13/AtMYB88/ATCIPK23/VI1/AXR2/ABIG1/ATOCT6/ATCTL1/AtPUB22/RAP2.6/DREB2/AtDTX50/RAP2.4/PDH2/ANAC055/STZ/NA/ATMYB15/AtRDUF1/DREB2/ATMYB44/ATMYB96/AtERF53/ALDH3H1/ATCBL1/NA/ATHB29/ATSUS3/UGT74E2/LTI30/AtBAM1/NA/AtCLO3/ATCOR413-PM1/GORK/ADR1/LDAP3/RD2/ATWRKY33/AtLEA14/ERD14/AtPUB23/ATHH2/DRY2/PIP2;2/AHA1/CSI1/AtSUN3",89
"GO:0010243","BP","GO:0010243","response to organonitrogen compound","67/1852","266/22026",1.5586506623786e-16,2.48215117983792e-14,2.10554563163425e-14,"DER2.2/RHA1B/ATGLR1.1/ATGLR1.2/ATGLR1.3/AtHrd1B/NA/NA/ATBZIP60/ATWRKY53/SCL13/ATWRKY18/EDA36/NA/AtWRKY15/AZF2/PUB24/ERD6/ATRMA1/AtRLP52/ATRMA3/NA/AtNPF5.2/AtERF#100/AtWRKY22/ATWRKY40/UBC34/ATL6/IOS1/SAUR21/ATWRKY48/ATWRKY6/STOP2/NA/NA/PUB25/AtPUB22/BBX20/STZ/ATCMPG2/ATMYB15/AtRDUF1/AtZAT12/ATL2/ATSZF2/NA/NA/ATMYB44/ZAT11/BIP1/ABCG37/AtARRE/AtMYB27/ATCMPG1/ATERF6/ATRBOHC/DER1/AtCDC48B/ATWRKY17/RHA3B/ATWRKY33/ATMYB31/ANAC062/ATWRKY11/ATGLR2.5/AtPUB23/PUB11",67
"GO:0009651","BP","GO:0009651","response to salt stress","93/1852","484/22026",2.81253013947025e-14,4.13441930502126e-12,3.50712260306412e-12,"SIED1/ATSOS2/BBX24/APUM5/ATCHIP/AthCYSTM3/ATWRKY25/ABA3/ATWRKY57/ATPK19/RZFP/ATVAMP714/ATTIL/BGLU26/DELTA-OAT/Raf43/5PTASE11/ATMYB2/STMP6/AZF2/RD19/SIS/ATCML9/NSL1/SNRK2-10/ERD6/ATVAMP711/CIPK1/NA/BGLU16/SAP13/ATWRKY8/ATPI4K/GAMMA-TIP2/PIP2;7/ATPCAP1/PIP1;3/ASG1/AtNPF5.2/ESL1/AtSTOP1/VQ9/ATBT4/ATSAT32/AKR4C8/ALDH7B4/ATCPK32/Rap2.6L/AIF2/RCI2A/AtOCT5/ATSTP13/AtMYB88/VI1/ATCP1/ATOCT6/ATCTL1/NA/RAP2.6/AtRLP30/MAP18/BGLU28/EARLI1/BGLU30/ANAC092/STZ/NA/ATMYB15/AtZAT12/ATMYB44/AtSAP10/AtERF53/NA/ALDH3H1/BGLU27/ATCBL1/RHA2A/NA/UGT74E2/HSP17.6II/AtSFT12/AtCLO3/AHA4/ATWRKY33/CYT1/ATCAX1/ASK2/GABA-T/ATHH2/PIP2;2/ANY1/AT-NHX1/AtSUN3",93
"GO:0042742","BP","GO:0042742","defense response to bacterium","89/1852","455/22026",3.47181024663012e-14,4.73902098665012e-12,4.01999081188751e-12,"RGLG4/XLG2/ADR1-L2/NA/ADR1-L1/ZAR1/SAG101/SZE2/ATNRAMP3/ACD1/ATWRKY53/ABA3/ATWRKY60/AT-RLK3/BIR1/ATWRKY18/AtDMR6/SZE1/BGLU26/DELTA-OAT/APK2A/ATHLECRK/LecRK-VI.3/RD19/LecRK-I.8/AGO2/FLS2/PME39/LecRK-I.7/BAH1/ACBP3/MIEL1/WRKY4/FIB4/AtRIN4/LecRK-VII.1/CRK19/ATGSTF5/CBP60a/CRK18/CRK13/FRK1/ATWRKY8/ATHSPRO2/AtILP/TET8/GAMMA-TIP2/MAP3KA/ATPCAP1/AT-POX/AtNHR2B/BIK1/AtNPF5.2/AtNHR2A/ATIRE1-2/ATHS83/ATWRKY40/ATL6/NA/IOS1/ATECS1/ATWRKY48/AGD5/ATTLP1/CRK4/ATEXO70H1/EARLI1/ATKTI1/AZI1/ATMYB44/NHL13/ATPCB/AtSDF2/EXT-like/LGO/RGLG3/AtJAZ1/PLDBETA/AtORM1/ATWRKY17/ADR1/NHL3/ATWRKY33/CRK32/RIPK/CYT1/ATWRKY11/GAE1/AtSUN3",89
"GO:0009620","BP","GO:0009620","response to fungus","78/1852","375/22026",4.72314636097807e-14,6.01728846388606e-12,5.10431255853068e-12,"HR4/ClAP/AtEWR1/ATTI1/ATSYP122/ATWRKY60/ATWRKY18/AtDMR6/BGLU26/anac081/ACX1/AT-SYR1/PUX2/LecRK-I.8/NA/ATMES9/ACBP3/ATPUB17/WRKY4/ATGRXS13/AtRLP52/ATWI-12/ATWRKY8/UPI/UBAC2B/AtILP/NA/AtMYB108/RD21/MAP3KA/BIK1/AtPRX71/NA/ATWRKY40/AtTLP7/ERF114/AtCOR47/NA/IOS1/ATBFRUCT1/NA/ATECS1/NA/FER/ATPERK1/AAE3/THE1/RAP2.4/AtRLP30/ATEXO70H1/EARLI1/AZI3/EDR4/ATMLO12/NA/ATKTI1/AZI1/NA/NA/ATSZF2/ATMYB44/NA/ATPCB/AtSDF2/At17.1/LTI30/ATMLO2/AtBBE19/AtKPI-1/NA/AtCLO3/AtRLCK/ATWRKY33/LAG1/NA/AtLEA14/ATFH4/GAE1",78
"GO:0009611","BP","GO:0009611","response to wounding","53/1852","222/22026",2.21740026065016e-12,2.64840743631403e-10,2.24657657986924e-10,"atnudt8/RGLG4/JAZ11/CYP94B3/anac081/NA/ACX1/AT-RSH2/ATCHITIV/ATSEN1/AtFDH1/NA/JAZ6/NA/ATMPK2/ATCK1/UPI/CYP94B1/AtNPF5.2/LIK1/ATBT4/AtNPF6.2/ATWRKY40/ATPSKR1/NA/ATBFRUCT1/AXR2/ATPERK1/ATOPR1/ANAC002/RAP2.6/JAS1/ANAC059/ATBCB/ATKTI1/CML38/STZ/NA/AtZAT12/BAP1/ATSUC3/ATC4H/RGLG3/WAKL5/ATEXT1/AtJAZ1/JAI3/SS2/KAT2/AtBBE16/NHL3/NA/AtLEA14",53
"GO:0006979","BP","GO:0006979","response to oxidative stress","85/1852","468/22026",8.55176459345792e-12,9.61318949299888e-10,8.1546238228639e-10,"ATMC8/NA/NA/ATWRKY30/ATWRKY53/AT-RLK3/ATTIL/APX1/Raf43/NA/ATGPX5/ATSEN1/AER/TPX2/AT103-1A/AtSBP1/FIB4/NA/LSD1/ATGRXS13/ATWI-12/ASG6/RMG1/ATWRKY8/ATHSPRO2/NA/ATFER1/ALDH6B2/AT-POX/AtDJ1A/NA/AtPRX71/ATBT4/ATGSTU19/MAF1/ATMPK7/ATXDH1/AIF2/NA/NA/ATECS1/Prx47/NA/LRR/NA/DREB2/GGT1/ANAC059/ANAC092/ATBCB/CAT1/ATKTI1/STZ/AtZAT12/NA/AtCML24/ATFC-I/ATPCB/NA/GRXC1/NA/NA/UGT74E2/PER64/HSP17.6II/NA/NA/AtBBE19/AtBBE28/PER4/PRX72/ATPA2/NA/GATL10/ATERF6/NA/AHK5/AtUSP/ACO2/AtORM1/PRX52/CYT1/AtPCR2/GABA-T/ATGPX2",85
"GO:0014070","BP","GO:0014070","response to organic cyclic compound","67/1852","344/22026",6.29257198963982e-11,6.68061392900094e-09,5.66699465733645e-09,"HR4/DIV2/STMP10/CPK31/ATWRKY30/ATSYP122/ATWRKY53/ATWRKY60/ATWRKY18/AtDMR6/EDA36/anac081/AT-SYR1/BAH1/D14/UGT1/SMAX1/FLA18/ATSK21/ATBRI1/WRKY4/ATGRP-3/LSD1/CRK19/AtRAV1/GLYI4/ATHSPRO2/GASA1/AtNPF5.2/ATIRE1-2/DIN9/ATBT4/AtDWF4/ATWRKY40/UBI10/Rap2.6L/STMP7/ATGSTU7/TUB8/VIK/FER/DREB26/ATOPR1/RAP2.6/THE1/BBX20/BSK7/CRK4/EDR4/ATKTI1/MERI-5/BAP1/AtXTH22/ATMYB44/HERK1/BEH4/IBL1/ABCG37/ATEXT1/BIM1/AtCLO3/ATRBOHC/ATIWS1/BEH3/NHL3/FLA2/CESA6",67
"GO:0050832","BP","GO:0050832","defense response to fungus","58/1852","285/22026",2.05933255967383e-10,2.0712550113351e-08,1.75699287639762e-08,"HR4/ClAP/AtEWR1/ATTI1/ATSYP122/ATWRKY60/ATWRKY18/BGLU26/AT-SYR1/PUX2/LecRK-I.8/ATMES9/ACBP3/ATPUB17/WRKY4/ATGRXS13/AtRLP52/ATWRKY8/UPI/UBAC2B/AtILP/RD21/MAP3KA/BIK1/AtPRX71/ATWRKY40/ERF114/AtCOR47/NA/IOS1/ATBFRUCT1/NA/ATECS1/FER/AAE3/THE1/AtRLP30/EARLI1/AZI3/EDR4/ATMLO12/AZI1/NA/ATSZF2/ATMYB44/ATPCB/AtSDF2/LTI30/ATMLO2/AtBBE19/AtKPI-1/AtCLO3/AtRLCK/ATWRKY33/NA/AtLEA14/ATFH4/GAE1",58
"GO:0044282","BP","GO:0044282","small molecule catabolic process","50/1852","246/22026",3.75204875218565e-09,3.58508258271339e-07,3.04113425177152e-07,"NA/AtDMR6/NA/FRA3/EDA36/NA/DELTA-OAT/5PTASE11/ACX1/5PTASE2/MIOX2/AtFDH1/ACX4/NA/ETFQO/GLX2-5/AtHGO/DIN4/MCCA/AtTAT1/NA/NA/GDH1/ATHSPRO2/THA1/BCDH/HPD/MCCB/ALDH6B2/AT-POX/LKR/GDH2/ATMGL/GSDA/ACX2/ATECI1/AtTAT2/AAE3/ATGA2OX2/PDH2/MIOX4/NA/ATIVD/ASN1/CYP707A4/NA/AtPNC2/AHL/KAT2/GABA-T",50
"GO:0002376","BP","GO:0002376","immune system process","73/1852","429/22026",4.89527145934621e-09,4.45469702800505e-07,3.77880603879356e-07,"ATEXO70E2/APUM5/NA/ZAR1/SAG101/SZE2/QQS/ACD1/ATSYP122/ATWRKY53/AT-RLK3/ATWRKY18/SZE1/BGLU26/DELTA-OAT/CAD1/AT-SYR1/ATCHITIV/AtGILP/PUB24/AGO2/ATMES9/NSL1/LORE/BAH1/NA/ATPUB17/LSD1/AtRIN4/CBP60a/ATBXL4/CRK13/ATWRKY8/ATHSPRO2/UBAC2B/AtNHR2B/ATEXO70E1/LIK1/AtNHR2A/ATIRE1-2/ATHS83/ATWRKY40/ATL6/ATPSKR1/ATECS1/ILL6/LRR/PUB25/AtPUB22/ATTLP1/THE1/JAS1/EARLI1/ATMLO12/ANAC092/NA/AZI1/PRP/AtCML24/ATRBOH/EXT-like/EFR/ATMLO2/NA/PLDBETA/NHL3/ATWRKY33/ANAC062/AtSAP9/B120/ATWRKY11/AtPUB23/AHL27",73
"GO:0009751","BP","GO:0009751","response to salicylic acid","39/1852","170/22026",5.8267021717524e-09,5.0612853864631e-07,4.29335949497545e-07,"HR4/DIV2/STMP10/CPK31/ATWRKY30/ATSYP122/ATWRKY53/ATWRKY60/ATWRKY18/AtDMR6/anac081/AT-SYR1/BAH1/UGT1/WRKY4/ATGRP-3/LSD1/CRK19/GLYI4/ATHSPRO2/AtNPF5.2/ATIRE1-2/ATBT4/ATWRKY40/UBI10/Rap2.6L/STMP7/ATGSTU7/DREB26/ATOPR1/RAP2.6/CRK4/EDR4/ATKTI1/BAP1/ATMYB44/ATEXT1/AtCLO3/NHL3",39
"GO:0007568","BP","GO:0007568","aging","39/1852","174/22026",1.16333016462774e-08,9.66575628088525e-07,8.19921489028246e-07,"ANAC029/DA1/SAG101/ATWRKY30/NA/ATWRKY53/BFN1/AtDMR6/anac081/AALP/DIN11/AtS40-3/ATSEN1/A-PTF-1/NA/AtMAX2/ATWI-12/DEAR4/SAG201/ATPUB44/AtWRKY22/UGT76B1/UBI10/DMP3/ATOPR1/MAP18/ANAC059/BGLU30/ATMLO12/ANAC092/MERI-5/DMP4/HAC1/ASP3/MAPKKK18/AtORM1/TBL17/SASP/AHL27",39
"GO:0009753","BP","GO:0009753","response to jasmonic acid","43/1852","205/22026",1.72959009126659e-08,1.37718611017102e-06,1.16823190375024e-06,"RGLG4/HR4/JAZ11/ATSYP122/ATWRKY53/anac081/JAO4/5PTASE11/AT-SYR1/ATSEN1/WRKY4/JAZ6/GLYI4/AtBBE22/JAO2/ANAC056/TBL37/AtNPF5.2/ATBT4/AtNPF6.2/AtDWF4/Rap2.6L/NA/ATECS1/ILL6/AXR2/DREB26/RAP2.6/JAS1/JAV1/ANAC055/ATMYB44/RGLG3/ATJRG21/ATEXT1/AtJAZ1/JAI3/SS2/GORK/ATST2A/AtBBE16/CYT1/ATWRKY11",43
"GO:0009991","BP","GO:0009991","response to extracellular stimulus","51/1852","267/22026",2.31150651159036e-08,1.76691557745967e-06,1.49882948541017e-06,"ATATG8E/ATG8C/UBC32/NA/ATMYB2/DIN11/ATATG18F/LPR2/NA/DIN4/NA/NA/LRK10L1.1/BCDH/MRF4/ATPCAP1/AtATL15/DIN9/NA/ATGSTU19/UBC34/ATMGL/AtOCT4/CBSX5/AtOCT5/AtSAT1/ATWRKY6/ATCIPK23/ATOCT6/SHB1/CEPR2/NA/ASN1/CAT1/BCE2/ATWRKY75/UGT74E2/ABCG37/NA/SEL1/SS2/ATPAP12/ATCOR413-PM1/ACO2/ATPAP10/PDLZ2/DGD2/ATG8H/NA/CBSX6/ATUBC24",51
"GO:0009646","BP","GO:0009646","response to absence of light","18/1852","48/22026",2.55639506358624e-08,1.87895037173588e-06,1.59386574814688e-06,"ATCAL4/EMB173/ACBP3/ETFQO/DIN4/GDH1/MRF4/DIN9/ABS4/COR28/NA/ASN1/ATBCB/BCE2/AtCML24/ATHB52/AtMYB27/IAA20",18
"GO:0046777","BP","GO:0046777","protein autophosphorylation","40/1852","189/22026",4.15698522876663e-08,2.9374132763447e-06,2.49173287370671e-06,"CRK3/CPK31/SZE1/ATHLECRK/CRPK1/LecRK-I.8/LORE/ATSK21/ATCDPK2/NA/NA/NILR2/WNK4/ASG6/NA/CPK9/ATPI4K/BIK1/LIK1/ATIRE1-2/ATCPK32/FER/ATWNK8/ATPERK1/LRR/NA/THE1/WAKL2/MAPKKK16/HERK1/MIK1/NA/NA/ATCDPK3/AHK5/AtRLCK/MAPKKK18/ATCDPK1/ATCIPK8/NA",40
"GO:0016054","BP","GO:0016054","organic acid catabolic process","37/1852","168/22026",4.45761303055972e-08,2.9374132763447e-06,2.49173287370671e-06,"AtDMR6/NA/EDA36/NA/DELTA-OAT/ACX1/AtFDH1/ACX4/ETFQO/AtHGO/DIN4/MCCA/AtTAT1/GDH1/ATHSPRO2/THA1/BCDH/HPD/MCCB/ALDH6B2/AT-POX/LKR/GDH2/ATMGL/ACX2/ATECI1/AtTAT2/AAE3/ATGA2OX2/PDH2/NA/ATIVD/ASN1/CYP707A4/AtPNC2/KAT2/GABA-T",37
"GO:0046395","BP","GO:0046395","carboxylic acid catabolic process","37/1852","168/22026",4.45761303055972e-08,2.9374132763447e-06,2.49173287370671e-06,"AtDMR6/NA/EDA36/NA/DELTA-OAT/ACX1/AtFDH1/ACX4/ETFQO/AtHGO/DIN4/MCCA/AtTAT1/GDH1/ATHSPRO2/THA1/BCDH/HPD/MCCB/ALDH6B2/AT-POX/LKR/GDH2/ATMGL/ACX2/ATECI1/AtTAT2/AAE3/ATGA2OX2/PDH2/NA/ATIVD/ASN1/CYP707A4/AtPNC2/KAT2/GABA-T",37
"GO:0006749","BP","GO:0006749","glutathione metabolic process","16/1852","44/22026",2.5054388799153e-07,1.59596456650605e-05,1.35381609651564e-05,"ATGSTU22/ETHE1/ATGSTU16/AT103-1A/ATGSTU8/ATGSTU19/ATGSTU7/ATECS1/GGT1/GGT2/ATGSTU12/ATGSTU11/ATGSTU24/ATGSTU2/ATGSTU1/ATGSTU3",16
