ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
252612_at	0.0012179	1.92e-06	-3.26e+01	6.138152	-2.84	AT3G45160	putative membrane lipoprotein
251766_at	0.0012373	2.01e-06	3.23e+01	6.101606	3.39	AT3G55910///AT3G55890	hypothetical protein///yippee family putative zinc-binding protein
247657_at	0.001253	2.12e-06	3.19e+01	6.056054	3.99	AT5G59845	gibberellin-regulated protein
255575_at	0.001253	2.19e-06	3.17e+01	6.027641	4.99	AT4G01430	nodulin MtN21-like transporter family protein
259226_at	0.001253	2.20e-06	3.16e+01	6.024283	2.03	AT3G07700	ABC1 kinase
254998_at	0.0012628	2.27e-06	3.14e+01	5.996273	1.87	AT4G09760	choline synthase
264147_at	0.0013197	2.43e-06	3.09e+01	5.937156	6.82	CER1	protein ECERIFERUM 1
259416_at	0.0014481	2.83e-06	2.99e+01	5.802702	8.68e-01	AT1G02305	putative cathepsin B-like cysteine protease
266098_at	0.0014481	2.86e-06	2.98e+01	5.795292	7.75	AT2G37870	protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
247718_at	0.0014481	2.95e-06	2.96e+01	5.764901	1.03e+01	LTP4	non-specific lipid-transfer protein 4
253473_at	0.0014481	3.02e-06	2.94e+01	5.746436	3.84	AT4G32250	protein kinase family protein
266419_at	0.0014481	3.03e-06	2.94e+01	5.741211	4.67	ANNAT3	annexin D3
250648_at	0.0014481	3.05e-06	2.94e+01	5.737164	9.29	LEA4-5	late embryogenesis abundant protein 4-5
257017_at	0.0014504	3.17e-06	2.91e+01	5.700407	1.69	AT3G19620	putative beta-D-xylosidase 5
255596_at	0.0014504	3.18e-06	-2.91e+01	5.699071	-3.63	WRKY47	putative WRKY transcription factor 47
259616_at	0.0014919	3.34e-06	2.88e+01	5.655749	3.85	C/VIF1	cell wall / vacuolar inhibitor of fructosidase 1
263424_at	0.0014962	3.41e-06	2.86e+01	5.635515	3.97e-01	ARI7	putative E3 ubiquitin-protein ligase ARI7
267559_at	0.0015388	3.58e-06	2.83e+01	5.592629	8.12	CYP76C2	cytochrome P450 76C2
257853_at	0.0016207	3.84e-06	2.79e+01	5.527969	2.16	AT3G12960	hypothetical protein
254210_at	0.0016406	3.96e-06	2.77e+01	5.499792	3.23	AT4G23450	C3H2C3-type RING E3 Ub ligase
262454_at	0.001687	4.14e-06	2.74e+01	5.457275	6.82	BFN1	endonuclease 1
247333_at	0.0016963	4.24e-06	-2.73e+01	5.435713	-2.70	FLS5	flavonol synthase 5
259860_at	0.0016996	4.36e-06	-2.71e+01	5.408996	-2.09	AT1G80640	probable receptor-like protein kinase
264514_at	0.0016996	4.40e-06	2.70e+01	5.401744	8.16	AT1G09500	alcohol dehydrogenase-like protein
256327_at	0.0017509	4.68e-06	-2.66e+01	5.342944	-6.94e-01	GAUT9	putative galacturonosyltransferase 9
261653_at	0.0017509	4.68e-06	2.66e+01	5.342653	2.39	SBTI1.1	subtilisin-like serine protease SBT1.1
258963_at	0.0018352	4.99e-06	2.63e+01	5.282966	1.57	AT3G10550	Myotubularin 1
251575_at	0.0018411	5.09e-06	-2.61e+01	5.264749	-2.14	BZIP61	transcription factor BZIP61
263881_at	0.0018746	5.26e-06	2.59e+01	5.232659	6.40	AT2G21820	hypothetical protein
246241_at	0.0019029	5.48e-06	2.57e+01	5.192907	4.77	PLP4	PATATIN-like protein 4
263426_at	0.0019029	5.65e-06	2.55e+01	5.164419	1.82	GPX2	glutathione peroxidase GPx
260474_at	0.0019029	5.88e-06	2.53e+01	5.126286	7.72e-01	AT1G11090	alpha/beta-hydrolase-like protein
247957_at	0.0019029	6.04e-06	2.51e+01	5.099696	6.11	ABI2	protein phosphatase 2C 77
261601_at	0.0019029	6.06e-06	2.51e+01	5.097631	1.29	NQR	oxidative stress tolerance protein NQR
247377_at	0.0019029	6.07e-06	-2.51e+01	5.095452	-4.92	AT5G63180	putative pectate lyase 22
256296_at	0.0019029	6.10e-06	2.51e+01	5.091299	5.77	AT1G69480	EXS (ERD1/XPR1/SYG1) family protein
245955_at	0.0019029	6.12e-06	2.51e+01	5.087729	7.46	BGLU24	beta glucosidase 24
255856_at	0.0019029	6.15e-06	-2.50e+01	5.082938	-6.04	AT1G66940	protein kinase-related protein
250146_at	0.0019029	6.25e-06	-2.50e+01	5.067487	-1.14	PDF1B	peptide deformylase 1B
249917_at	0.0019029	6.31e-06	2.49e+01	5.057609	5.38	AT5G22460	esterase/lipase/thioesterase family protein
262244_at	0.0019029	6.44e-06	2.48e+01	5.037796	3.51	CIPK17	SNF1-related kinase
266011_at	0.0019029	6.47e-06	2.48e+01	5.034195	2.77	AT2G37440	DNAse I-like superfamily protein
256451_s_at	0.0019029	6.51e-06	2.47e+01	5.028028	2.16	AT1G75170	Sec14p-like phosphatidylinositol transfer family protein
261624_at	0.0019415	6.72e-06	2.45e+01	4.996126	1.39	GAE2	UDP-D-glucuronate 4-epimerase 2
246108_at	0.0019909	6.98e-06	-2.43e+01	4.959292	-4.29	AT5G28630	glycine-rich protein
247494_at	0.0020249	7.46e-06	-2.40e+01	4.894621	-1.69	CNX1	calnexin 1
250008_at	0.0020249	7.48e-06	2.40e+01	4.891742	1.23	AT5G18630	putative class 3 lipase
266644_at	0.0020249	7.51e-06	-2.39e+01	4.888063	-1.40	AT2G29660	hypothetical protein
255250_at	0.0020249	7.64e-06	2.38e+01	4.871024	6.62	MYB74	myb domain protein 74
245756_at	0.0020249	7.64e-06	2.38e+01	4.870815	1.05	AT1G35190	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
253289_at	0.0020249	7.74e-06	2.38e+01	4.857696	4.77	AT4G34320	hypothetical protein
267080_at	0.0020249	7.81e-06	2.37e+01	4.848739	8.31	AT2G41190	transmembrane amino acid transporter family protein
265216_at	0.0020249	7.89e-06	2.37e+01	4.839152	6.70	MAPKKK18	mitogen-activated protein kinase kinase kinase 18
245982_at	0.0020249	8.03e-06	2.36e+01	4.82227	9.68	SAG29	senescence-associated protein 29
246183_at	0.0020249	8.17e-06	2.35e+01	4.804806	3.49	AT5G20940	glycosyl hydrolase family protein
260613_at	0.0020249	8.20e-06	-2.35e+01	4.800718	-1.58	AT1G53380	hypothetical protein
251824_at	0.0020249	8.35e-06	2.34e+01	4.783212	7.14	AT3G55090	ABC transporter G family member 16
264217_at	0.0020249	8.39e-06	2.33e+01	4.778787	7.30	AT1G60190	U-box domain-containing protein 19
251163_at	0.0020249	8.48e-06	2.33e+01	4.767751	9.17e-01	BIL4	BRZ-INSENSITIVE-LONG HYPOCOTYLS 4
262838_at	0.0020249	8.52e-06	-2.33e+01	4.763	-2.96	AT1G14960	polyyketide cyclase/dehydrase and lipid transport superfamily protein
248243_at	0.0020249	8.63e-06	2.32e+01	4.750626	3.05	CPuORF50///AT5G53590	conserved peptide upstream open reading frame 50///SAUR-like auxin-responsive protein
265084_at	0.0020249	8.66e-06	2.32e+01	4.74712	5.48	SOM	CCCH-type zinc finger protein SOMNUS
260163_at	0.0020249	8.85e-06	2.31e+01	4.725458	6.33	BAC2	mitochondrial arginine transporter BAC2
260436_at	0.0020249	8.93e-06	2.30e+01	4.716563	1.31	AT1G68140	hypothetical protein
249848_at	0.0020249	8.94e-06	2.30e+01	4.715121	6.80	NIC3	nicotinamidase 3
258834_at	0.0020249	8.97e-06	-2.30e+01	4.712079	-1.81	AT3G07270	GTP cyclohydrolase I
247498_at	0.0020249	9.05e-06	2.29e+01	4.702311	3.64	AT5G61810	ATP-Mg/Pi transporter
267612_at	0.0020275	9.16e-06	2.29e+01	4.69123	4.48	AT2G26690	nitrate transporter 1.4
251084_at	0.0020275	9.37e-06	2.28e+01	4.668052	4.08	AT5G01520	C3HC4 type RING finger protein
255521_at	0.0020275	9.61e-06	2.26e+01	4.643085	5.78	SUS3	sucrose synthase 3
263127_at	0.0020275	9.82e-06	2.25e+01	4.621313	3.93	MSL6	mechanosensitive channel of small conductance-like 6
251956_at	0.0020275	9.85e-06	-2.25e+01	4.617899	-1.96	CP29	chloroplast RNA-binding protein 29
249927_at	0.0020275	9.88e-06	-2.25e+01	4.615021	-1.51	APL1	glucose-1-phosphate adenylyltransferase large subunit 1
253851_at	0.0020275	9.95e-06	2.24e+01	4.607347	5.69	MYB41	myb domain protein 41
264146_at	0.0020275	9.99e-06	2.24e+01	4.60345	7.12	CER1	protein ECERIFERUM 1
259911_at	0.0020275	1.00e-05	2.24e+01	4.59866	1.48	CAD1	cinnamyl-alcohol dehydrogenase
256285_at	0.0020275	1.01e-05	2.24e+01	4.5915	4.38	AT3G12510	MADS-box family protein
259231_at	0.0020275	1.01e-05	2.23e+01	4.588636	5.72	PP2CA	protein phosphatase 2CA
259337_at	0.0020275	1.02e-05	2.23e+01	4.578388	1.06	CAT4	cationic amino acid transporter 4
254828_at	0.0020275	1.04e-05	-2.22e+01	4.567534	-1.39	AIR1	auxin-Induced in Root cultures 1
247995_at	0.0020275	1.04e-05	2.22e+01	4.565529	2.08	AT5G56160	sec14p-like phosphatidylinositol transfer-like protein
251753_at	0.0020275	1.04e-05	2.22e+01	4.563115	1.74	AT3G55760	hypothetical protein
254232_at	0.0020372	1.05e-05	2.22e+01	4.549675	4.80	CORI3	cystine lyase CORI3
262448_at	0.0020849	1.09e-05	2.20e+01	4.517664	7.94	AT1G49450	WD40 domain-containing protein
252983_at	0.0020879	1.10e-05	2.19e+01	4.507712	4.14	ELI3-1	cinnamyl alcohol dehydrogenase 7
250833_at	0.0020958	1.11e-05	2.19e+01	4.49491	8.71e-01	AT5G04540	Myotubularin 2
265024_at	0.0020958	1.12e-05	2.18e+01	4.487086	7.28	AT1G24600	hypothetical protein
257687_at	0.0021155	1.14e-05	2.18e+01	4.469241	9.25e-01	SDRB	short-chain dehydrogenase-reductase B
256021_at	0.002156	1.18e-05	2.16e+01	4.436455	2.68	ZW9	protein ZW9
263385_at	0.002156	1.18e-05	2.16e+01	4.433485	6.63	GEA6	Em-like protein GEA6
265615_at	0.002196	1.21e-05	2.15e+01	4.406564	1.11	AT2G25450	1-aminocyclopropane-1-carboxylate oxidase-like protein
247252_at	0.0022838	1.27e-05	-2.12e+01	4.358285	-3.29	RGF9	root meristem growth factor 9
260629_at	0.0022977	1.29e-05	-2.12e+01	4.344002	-1.34	AT1G62330	O-fucosyltransferase family protein
266344_at	0.002326	1.33e-05	2.10e+01	4.314095	3.00	AT2G01580	hypothetical protein
248255_at	0.002326	1.33e-05	2.10e+01	4.310229	1.45	CLPX	CLP protease regulatory subunit X
253494_at	0.002326	1.34e-05	2.10e+01	4.307561	5.51	AT4G31830	hypothetical protein
254166_at	0.0023268	1.35e-05	-2.10e+01	4.299363	-1.13	SHD	HSP90-like protein GRP94
253039_at	0.0023347	1.36e-05	2.09e+01	4.288092	2.42	SQE3	squalene epoxidase 3
266337_at	0.0024026	1.41e-05	-2.07e+01	4.248582	-3.43e-01	GLR3.5	glutamate receptor 3.5
250597_at	0.0024026	1.42e-05	2.07e+01	4.242609	2.78	NAC080	NAC domain containing protein 80
261888_at	0.0024026	1.44e-05	2.06e+01	4.228109	1.17	AT1G80800	pseudo
252183_at	0.0024026	1.45e-05	-2.06e+01	4.223031	-6.38	UGT72E1	UDP-glucosyl transferase 72E1
255344_s_at	0.0024026	1.45e-05	-2.06e+01	4.220319	-2.45	CRK40///CRK39	cysteine-rich receptor-like protein kinase 40///putative cysteine-rich receptor-like protein kinase 39
245769_at	0.0026233	1.61e-05	2.01e+01	4.113084	2.88	INT2	putative inositol transporter 2
246799_at	0.0026233	1.62e-05	2.01e+01	4.107942	2.94	AT5G26940	Mg2+-dependent DNA exonuclease
248424_at	0.0026233	1.62e-05	2.01e+01	4.106582	4.37	AT5G51680	hydroxyproline-rich glycoprotein family protein
263811_at	0.0027279	1.70e-05	1.99e+01	4.058328	2.85	LACS8	long chain acyl-CoA synthetase 8
252629_at	0.0027536	1.73e-05	-1.98e+01	4.041154	-1.72	AT3G44970	cytochrome P450 family protein
246097_at	0.0028295	1.79e-05	1.96e+01	4.001967	5.09	HHP1	heptahelical transmembrane protein1
251293_at	0.0028295	1.80e-05	1.96e+01	3.998064	5.44	AT3G61930	hypothetical protein
254648_at	0.0028364	1.82e-05	1.96e+01	3.987169	4.86	AT4G18550	phospholipase A1-IIgamma
245433_at	0.0028364	1.84e-05	1.95e+01	3.976452	5.16e-01	AT4G17140	pleckstrin homology (PH) domain-containing protein
253994_at	0.0028364	1.85e-05	1.95e+01	3.966602	3.10	ABI1	protein phosphatase 2C 56
262657_at	0.0028364	1.87e-05	-1.94e+01	3.956558	-3.19	AT1G14210	ribonuclease T2 family protein
250211_at	0.0028364	1.89e-05	1.94e+01	3.94699	4.22	AT5G13880	hypothetical protein
264497_at	0.0028364	1.91e-05	-1.93e+01	3.935799	-2.19	PUP4	purine permease 4
249329_at	0.0028364	1.92e-05	1.93e+01	3.928255	1.99	AT5G40960	hypothetical protein
254093_at	0.0028364	1.93e-05	-1.93e+01	3.92331	-4.00	MC2	metacaspase 2
248537_at	0.0028364	1.94e-05	1.93e+01	3.920114	3.00	AT5G50100	putative thiol-disulfide oxidoreductase DCC
266469_at	0.0028364	1.94e-05	1.93e+01	3.917606	1.62	MYB14	myb domain protein 14
254377_at	0.0028364	1.95e-05	1.93e+01	3.912316	4.08	AT4G21650	Subtilase family protein
249866_at	0.0028364	1.95e-05	-1.92e+01	3.911733	-4.33	MAM1	methylthioalkylmalate synthase 1
246012_at	0.0028415	1.97e-05	1.92e+01	3.903134	1.61	AT5G10650	RING/U-box superfamily protein
252004_at	0.002891	2.02e-05	1.91e+01	3.878212	6.71	PAP20	putative purple acid phosphatase 20
262739_at	0.0029486	2.08e-05	1.90e+01	3.845192	3.20	AT1G28650	GDSL esterase/lipase
264113_at	0.0029486	2.11e-05	1.89e+01	3.828571	2.21	APG9	protein autophagy 9
252170_at	0.0029486	2.13e-05	-1.89e+01	3.818009	-1.72	HR4	RPW8-like protein 4
246318_at	0.0029486	2.15e-05	1.88e+01	3.809562	1.02	AT3G56740	ubiquitin-associated (UBA) protein
251207_at	0.0029486	2.16e-05	1.88e+01	3.803165	2.95	AT3G63050	hypothetical protein
261385_at	0.0029486	2.17e-05	1.88e+01	3.801154	5.03	AT1G05450	protease inhibitor/seed storage/LTP family protein
253351_at	0.0029486	2.17e-05	1.88e+01	3.799049	1.68	AT4G33700	hypothetical protein
247486_at	0.0029486	2.18e-05	1.88e+01	3.797036	2.28	AT5G62140	hypothetical protein
254767_s_at	0.0029486	2.18e-05	1.88e+01	3.795907	3.14	CYP71A20///CYP71A19	cytochrome P450 71A20///cytochrome P450 71A19
247438_at	0.0029486	2.18e-05	1.88e+01	3.792598	1.78	AT5G62460	RING/FYVE/PHD zinc finger-containing protein
254189_at	0.0029657	2.22e-05	1.87e+01	3.774926	7.59	CSLG2	cellulose synthase-like protein G2
250827_at	0.0029657	2.22e-05	-1.87e+01	3.773925	-6.52e-01	CEV1	cellulose synthase A catalytic subunit 3 [UDP-forming]
260806_at	0.0029894	2.25e-05	1.86e+01	3.759226	1.22	AT1G78260	RNA recognition motif-containing protein
252828_at	0.0030252	2.29e-05	-1.86e+01	3.740392	-9.58e-01	AT4G39960	molecular chaperone Hsp40/DnaJ family protein
247288_at	0.0030773	2.38e-05	-1.84e+01	3.699659	-1.73	NPH3	root phototropism protein 3
261366_at	0.0030773	2.39e-05	1.84e+01	3.698558	4.78	AT1G53100	core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase-like protein
257799_at	0.0030773	2.40e-05	1.84e+01	3.691978	1.29	AT3G15890	PTI1-like tyrosine-protein kinase
249205_at	0.0030773	2.42e-05	1.83e+01	3.68162	2.52	MRN1	marneral synthase
250474_at	0.0030773	2.44e-05	1.83e+01	3.675319	5.47	ANNAT7	annexin D7
252554_s_at	0.0030773	2.44e-05	-1.83e+01	3.675047	-1.78	MEE39///AT3G45920	putative LRR receptor-like serine/threonine-protein kinase MEE39///protein kinase family protein
245699_at	0.0030773	2.44e-05	1.83e+01	3.673898	3.96	AT5G04250	OTU-like cysteine protease family protein
265059_at	0.0030773	2.44e-05	1.83e+01	3.673403	3.22	AR791	hypothetical protein
257893_at	0.0030773	2.46e-05	1.83e+01	3.667977	2.71	UBC32	ubiquitin-conjugating enzyme E2 32
248124_at	0.0031325	2.52e-05	1.82e+01	3.642062	2.17	G18F	autophagy 18F-like protein
253120_at	0.0031325	2.54e-05	1.81e+01	3.633055	2.22	PLDDELTA	phospholipase D delta
246481_s_at	0.0031325	2.54e-05	1.81e+01	3.631393	5.38	KIN2///KIN1	stress-induced protein KIN2///cold and ABA inducible protein kin1
259570_at	0.0031356	2.56e-05	1.81e+01	3.624577	2.56	COR47	dehydrin COR47
256441_at	0.0031376	2.57e-05	1.81e+01	3.618121	1.78	AT3G10940	phosphoglucan phosphatase LSF2
252975_s_at	0.003183	2.64e-05	-1.80e+01	3.591153	-8.39e-01	ROPGEF1	Rop guanine nucleotide exchange factor 1
246660_at	0.003183	2.64e-05	1.80e+01	3.588348	1.08	AT5G35180	hypothetical protein
262061_at	0.003183	2.70e-05	1.79e+01	3.568007	4.24	PP2-B11	phloem protein 2-B11
265672_at	0.003183	2.70e-05	1.79e+01	3.567897	4.57	CYS2	cysteine proteinase inhibitor 2
245427_at	0.003183	2.70e-05	1.79e+01	3.566456	3.93	AT4G17550	glycerol-3-phosphate permease 4
246908_at	0.003183	2.70e-05	1.79e+01	3.564822	5.25	RD22	dehydration-responsive protein RD22
253749_at	0.003183	2.71e-05	-1.79e+01	3.562154	-2.11	PAP2	phytochrome-associated protein 2
250992_at	0.003183	2.73e-05	-1.78e+01	3.553944	-3.28	EXPA9	expansin A9
246974_at	0.003183	2.74e-05	-1.78e+01	3.552165	-9.77e-02	AT5G24980	hypothetical protein
267026_at	0.0032399	2.80e-05	1.77e+01	3.527597	4.49	AT2G38340	dehydration-responsive element-binding protein 2E
247386_at	0.0032971	2.87e-05	-1.76e+01	3.498762	-2.47	emb2746	RNase J
258660_at	0.0032971	2.88e-05	1.76e+01	3.497835	8.30e-01	AT3G09850	D111/G-patch domain-containing protein
259653_at	0.0033165	2.91e-05	1.76e+01	3.486096	3.62	AT1G55240	hypothetical protein
258880_at	0.0033299	2.93e-05	1.75e+01	3.476344	2.23	ATG8H	autophagy-related protein 8h
258893_at	0.0033317	2.96e-05	-1.75e+01	3.466225	-2.47	RLP33	receptor like protein 33
251272_at	0.0033317	2.97e-05	1.75e+01	3.465067	5.98	HB-12	homeobox-leucine zipper protein ATHB-12
246300_at	0.003346	2.99e-05	1.75e+01	3.455113	1.47	SAC8	putative transmembrane protein G5p
249641_at	0.0033609	3.02e-05	-1.74e+01	3.445034	-1.82	DegP10	protease Do-like 10
261428_at	0.0033968	3.07e-05	1.74e+01	3.428261	5.31	ICS2	Isochorismate synthase 2
257373_at	0.0035115	3.19e-05	-1.72e+01	3.386989	-5.48	AT2G43140	transcription factor bHLH129
246602_at	0.0035153	3.23e-05	-1.72e+01	3.37151	-2.11	AT1G31710	copper amine oxidase 2
258091_at	0.0035153	3.23e-05	1.72e+01	3.371388	2.55	AT3G14560	hypothetical protein
245386_at	0.0035153	3.25e-05	1.71e+01	3.366502	2.27	RALFL32	protein ralf-like 32
250443_at	0.0035153	3.26e-05	-1.71e+01	3.361132	-2.83	RBK1	receptor-like cytosolic serine/threonine-protein kinase RBK1
267034_at	0.0035153	3.28e-05	-1.71e+01	3.357019	-6.11	PYL4	abscisic acid receptor PYL4
254547_at	0.0035153	3.28e-05	1.71e+01	3.354809	1.08	AT4G19860	calcium-independent phospholipase A
248895_at	0.0035358	3.33e-05	-1.70e+01	3.340621	-3.31	FLS2	LRR receptor-like serine/threonine-protein kinase FLS2
263073_at	0.0035358	3.34e-05	1.70e+01	3.335145	3.75	AT2G17500	auxin efflux carrier family protein
260917_at	0.0035358	3.37e-05	1.70e+01	3.324715	3.52	AT1G02700	hypothetical protein
261420_at	0.0035358	3.38e-05	1.70e+01	3.324167	4.94	KCS3	3-ketoacyl-CoA synthase 3
266327_at	0.0035358	3.38e-05	1.70e+01	3.323254	6.37	HB-7	homeobox-leucine zipper protein ATHB-7
253431_at	0.003539	3.41e-05	1.69e+01	3.313374	1.17	AT4G32440	tudor-like RNA-binding protein
260420_at	0.003539	3.42e-05	1.69e+01	3.310004	1.84	AT1G69610	hypothetical protein
247330_at	0.003539	3.45e-05	-1.69e+01	3.301217	-6.25e-01	GAMMA CAL1	gamma carbonic anhydrase like 1
254133_at	0.003539	3.46e-05	-1.69e+01	3.298891	-1.91	AT4G24810	protein kinase family protein
249351_at	0.003539	3.46e-05	1.69e+01	3.297565	1.15	MKK3	mitogen-activated protein kinase kinase 3
257206_at	0.0035507	3.50e-05	-1.68e+01	3.285033	-4.19	AT3G16530	legume lectin-like protein
263296_at	0.0035507	3.50e-05	1.68e+01	3.284252	7.74e-01	AT2G38800	calmodulin-binding protein-like protein
258524_at	0.0035595	3.53e-05	1.68e+01	3.276704	1.52	IBR3	acyl-CoA dehydrogenase-related protein
261243_at	0.0035714	3.56e-05	1.68e+01	3.265648	6.51	AT1G20180	hypothetical protein
245748_at	0.0035714	3.58e-05	1.68e+01	3.260268	6.58	AT1G51140	transcription factor bHLH122
253233_at	0.0035714	3.59e-05	-1.68e+01	3.258682	-2.18	AT4G34290	SWIB/MDM2 domain-containing protein
254562_at	0.0035776	3.61e-05	1.67e+01	3.25205	6.51	CYP707A1	abscisic acid 8'-hydroxylase 1
248440_at	0.0036273	3.68e-05	1.67e+01	3.231442	1.31	AT5G51260	HAD superfamily, subfamily IIIB acid phosphatase
257035_at	0.0036273	3.69e-05	1.66e+01	3.227532	3.69	CYP707A4	abscisic acid 8'-hydroxylase 4
253224_at	0.0036433	3.72e-05	1.66e+01	3.218023	1.82	AT4G34860	beta-fructofuranosidase-like protein
252589_s_at	0.0037225	3.82e-05	-1.65e+01	3.189796	-3.94	AT3G45660///NAXT1	probable nitrate excretion transporter 2///nitrate excretion transporter1
248306_at	0.0037823	3.90e-05	-1.64e+01	3.167672	-3.24	WRKY27	WRKY DNA-binding protein 27
254409_at	0.0038167	3.96e-05	-1.64e+01	3.151017	-4.34	CRK28	cysteine-rich receptor-like protein kinase 28
267126_s_at	0.0038167	3.97e-05	-1.64e+01	3.148466	-5.34	ACL///MES8	methylesterase 2///methyl esterase 8
262940_at	0.0038721	4.06e-05	1.63e+01	3.122152	3.90	AT1G79520	cation efflux family protein
245293_at	0.0038721	4.08e-05	-1.63e+01	3.117971	-1.16	AT4G16660	heat shock protein 70
259618_at	0.0038721	4.08e-05	1.63e+01	3.116827	3.91	MYB112	myb domain protein 112
262648_at	0.0038721	4.09e-05	-1.63e+01	3.114311	-2.23	AT1G14030	[fructose-bisphosphate aldolase]-lysine N-methyltransferase
265344_at	0.0038751	4.12e-05	1.62e+01	3.105994	1.30	AT2G22660	hypothetical protein
245332_at	0.0038751	4.13e-05	1.62e+01	3.104363	1.12	AT4G15940	fumarylacetoacetate hydrolase-like protein
247061_at	0.0038949	4.17e-05	1.62e+01	3.09425	6.39	AT5G66780	hypothetical protein
249247_at	0.0039061	4.20e-05	-1.62e+01	3.086612	-1.33	AT5G42310	pentatricopeptide repeat-containing protein
252264_at	0.0039237	4.23e-05	1.61e+01	3.077179	1.61	AT3G49590	Autophagy-related protein 13
262148_at	0.0039422	4.27e-05	1.61e+01	3.067554	4.03	AT1G52560	heat shock protein 26.5
253248_at	0.0039643	4.31e-05	-1.61e+01	3.056971	-8.38e-01	AT4G34670	40S ribosomal protein S3a-2
256774_at	0.004057	4.43e-05	-1.60e+01	3.027071	-2.72	AT3G13760	cysteine/histidine-rich C1 domain-containing protein
245423_at	0.0042459	4.67e-05	1.58e+01	2.96877	2.97	AT4G17483	putative palmitoyl-(protein) hydrolase
