ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
250094_at	0.006541	7.46e-06	2.39e+01	4.68036	2.08	AT5G17380	2-hydroxyacyl-CoA lyase
256972_at	0.00713	8.58e-06	2.31e+01	4.57071	1.22	AT3G21140	Pyridoxamine 5'-phosphate oxidase family protein
245686_at	0.00713	9.00e-06	2.29e+01	4.53272	1.50	J2	chaperone protein dnaJ 2
260897_at	0.00713	9.15e-06	2.28e+01	4.51964	1.38	ERD2	ER lumen protein retaining receptor
246601_at	0.00713	9.38e-06	-2.27e+01	4.49968	-1.91	AT1G31710	copper amine oxidase 2
264380_at	0.007568	1.03e-05	2.22e+01	4.42506	1.50	AT2G25190	PPPDE putative thiol peptidase-like protein
256183_at	0.007601	1.07e-05	2.20e+01	4.39565	2.34	MKK4	mitogen-activated protein kinase kinase 4
251575_at	0.007918	1.15e-05	-2.17e+01	4.33674	-2.03	BZIP61	transcription factor BZIP61
255521_at	0.008005	1.25e-05	2.12e+01	4.26431	1.69	SUS3	sucrose synthase 3
252178_at	0.008005	1.25e-05	-2.12e+01	4.26117	-2.12	BEH1	BES1/BZR1 1
262838_at	0.008005	1.31e-05	-2.10e+01	4.22697	-3.07	AT1G14960	polyyketide cyclase/dehydrase and lipid transport superfamily protein
264371_at	0.008005	1.34e-05	-2.09e+01	4.20396	-2.94	ELP	extensin-like protein
265991_at	0.008005	1.38e-05	-2.08e+01	4.18201	-1.35	SCA3	DNA-directed RNA polymerase 3
247104_at	0.008005	1.41e-05	2.07e+01	4.1626	1.77	DAR6	protein DA1-related 6
258786_at	0.008005	1.42e-05	2.06e+01	4.15791	1.40	SYP121	syntaxin-121
247977_at	0.008005	1.44e-05	-2.06e+01	4.14516	-1.46	AT5G56850	hypothetical protein
247085_at	0.008068	1.49e-05	-2.04e+01	4.11378	-1.43	AT5G66310	ATP binding microtubule motor family protein
260772_at	0.008068	1.52e-05	2.03e+01	4.09755	1.55	AT1G49050	aspartyl protease
260058_at	0.008252	1.59e-05	-2.01e+01	4.05831	-1.44	AT1G78100	F-box protein
255788_at	0.008823	1.74e-05	-1.97e+01	3.98055	-1.10	IAA13	auxin-responsive protein IAA13
250831_at	0.009038	1.85e-05	1.94e+01	3.92718	8.86e-01	AT5G04920	vacuolar protein sorting-associated protein 36
261230_at	0.009038	1.89e-05	-1.93e+01	3.90661	-2.34	TUB5	tubulin beta-5 chain
246602_at	0.009038	1.96e-05	-1.92e+01	3.87559	-1.82	AT1G31710	copper amine oxidase 2
248696_at	0.009038	1.99e-05	-1.91e+01	3.86442	-1.86	AT5G48360	actin-binding FH2 (formin homology 2) family protein
245440_at	0.009038	1.99e-05	1.91e+01	3.86156	2.01e-01	AT4G16680	putative RNA helicase
248916_at	0.009038	2.02e-05	1.90e+01	3.84866	2.54	AT5G45840	leucine-rich repeat protein kinase family protein
262263_at	0.009075	2.07e-05	-1.89e+01	3.82769	-2.70	PIN3	auxin efflux carrier component 3
245196_at	0.009148	2.13e-05	-1.88e+01	3.80347	-2.55	AT1G67750	putative pectate lyase 5
256106_at	0.009419	2.34e-05	-1.84e+01	3.71521	-6.56e-01	AT1G16870	mitochondrial 28S ribosomal protein S29-like protein
263326_at	0.009419	2.47e-05	-1.82e+01	3.66587	-1.67	AT2G04280	hypothetical protein
249489_at	0.009419	2.49e-05	1.81e+01	3.65919	2.94	AT5G39090	HXXXD-type acyl-transferase-like protein
248881_at	0.009419	2.52e-05	-1.81e+01	3.64951	-6.09e-01	AT5G46020	hypothetical protein
254466_at	0.009419	2.55e-05	-1.81e+01	3.63929	-1.91	AT4G20430	Subtilase family protein
251546_at	0.009419	2.60e-05	-1.80e+01	3.62232	-1.07	AT3G58830	haloacid dehalogenase-like hydrolase domain-containing protein
249641_at	0.009419	2.67e-05	-1.79e+01	3.59722	-1.95	DegP10	protease Do-like 10
249968_at	0.009419	2.67e-05	1.79e+01	3.59673	6.41e-01	AT5G19070	SNARE associated Golgi family protein
254784_at	0.009419	2.67e-05	1.79e+01	3.59573	2.79	NUDT7	nudix hydrolase 7
260776_at	0.009419	2.72e-05	-1.78e+01	3.57805	-6.75e-01	AT1G14580	C2H2-like zinc finger protein
264497_at	0.009419	2.74e-05	-1.78e+01	3.57262	-2.15	PUP4	purine permease 4
257938_at	0.009419	2.76e-05	-1.77e+01	3.56695	-1.68	DWF1	Delta(24)-sterol reductase
262381_at	0.009419	2.76e-05	1.77e+01	3.56577	2.93	AT1G72900	Toll-Interleukin-Resistance domain-containing protein
259284_at	0.009419	2.79e-05	-1.77e+01	3.55414	-6.58e-01	AT3G11450	DnaJ and Myb-like DNA-binding domain-containing protein
260595_at	0.009419	2.81e-05	-1.77e+01	3.54965	-9.44e-01	AT1G55890	pentatricopeptide repeat-containing protein
266017_at	0.009434	2.88e-05	1.76e+01	3.52682	2.01	AT2G18690	hypothetical protein
247935_at	0.009434	2.90e-05	-1.75e+01	3.52032	-7.62e-01	AT5G56940	ribosomal protein S16 family protein
265412_at	0.009434	2.95e-05	-1.75e+01	3.50348	-3.13e-01	TOC132	translocase of chloroplast 132
254936_at	0.009434	2.98e-05	1.74e+01	3.49514	4.33e-01	AT4G10790	UBX domain-containing protein
254179_at	0.009476	3.08e-05	1.73e+01	3.46509	9.38e-01	AT4G23910	hypothetical protein
253248_at	0.009476	3.09e-05	-1.73e+01	3.45958	-8.11e-01	AT4G34670	40S ribosomal protein S3a-2
257204_at	0.009476	3.12e-05	-1.72e+01	3.45279	-1.57	RALFL24	protein ralf-like 24
264052_at	0.009546	3.22e-05	1.71e+01	3.42172	2.48	CYP79B3	tryptophan N-monooxygenase 2
260055_at	0.009546	3.23e-05	-1.71e+01	3.41986	-5.79e-01	AT1G78150	hypothetical protein
266671_at	0.009546	3.26e-05	-1.71e+01	3.40908	-6.58e-01	ASA2	anthranilate synthase component I-2
251899_at	0.00956	3.32e-05	-1.70e+01	3.39235	-2.80	AT3G54400	aspartyl protease family protein
260803_at	0.00956	3.36e-05	1.70e+01	3.3815	4.40	GSTU22	glutathione S-transferase TAU 22
246747_at	0.00956	3.39e-05	-1.69e+01	3.37216	-5.14e-01	AT5G27700	ribosomal protein S21e
248954_at	0.009756	3.51e-05	1.68e+01	3.34133	4.05e-01	AT5G45420	MYB transcription factor
245454_at	0.010013	3.68e-05	1.66e+01	3.29683	4.26	AT4G16920	TIR-NBS-LRR class disease resistance protein
258005_at	0.010013	3.69e-05	1.66e+01	3.2937	1.26	AT3G19390	Granulin repeat cysteine protease family protein
262571_at	0.010183	3.79e-05	1.65e+01	3.26642	1.48	AT1G15430	hypothetical protein
260345_at	0.01048	3.95e-05	1.63e+01	3.22771	1.23	RPK1	receptor-like protein kinase 1
266732_at	0.010549	4.03e-05	1.63e+01	3.20964	1.04	AT2G03240	EXS (ERD1/XPR1/SYG1) family protein
253749_at	0.010549	4.17e-05	-1.61e+01	3.17572	-2.50	PAP2	phytochrome-associated protein 2
256648_at	0.010549	4.20e-05	-1.61e+01	3.17009	-7.07e-01	AT3G13580	60S ribosomal protein L7-4
247037_at	0.010549	4.20e-05	-1.61e+01	3.16954	-2.56	RALFL34	protein ralf-like 34
254276_at	0.010549	4.35e-05	1.60e+01	3.13502	7.96e-01	AT4G22820	A20/AN1-like zinc finger family protein
252272_at	0.010549	4.48e-05	-1.59e+01	3.10612	-4.71	BAM2	CLAVATA1-related receptor kinase-like protein
256379_at	0.010549	4.49e-05	-1.59e+01	3.10359	-4.46e-01	AT1G66840	protein PLASTID MOVEMENT IMPAIRED 2
246927_s_at	0.010549	4.55e-05	1.58e+01	3.09087	4.26	AT5G25260///AT5G25250	SPFH/Band 7/PHB domain-containing membrane-associated protein///Flotillin-like protein 1
262607_at	0.010549	4.58e-05	1.58e+01	3.08516	1.14	AT1G13990	hypothetical protein
250891_at	0.010549	4.58e-05	-1.58e+01	3.08469	-2.85	KCS19	3-ketoacyl-CoA synthase 19
267092_at	0.010549	4.59e-05	-1.58e+01	3.08342	-2.08	AUX1	auxin transporter protein 1
252591_at	0.010549	4.60e-05	-1.58e+01	3.08153	-9.02e-01	TET3	tetraspanin3
249424_s_at	0.010549	4.62e-05	-1.58e+01	3.07688	-1.45	AT5G40080///AT5G39800	mitochondrial ribosomal protein L27///mitochondrial ribosomal protein L27
251028_at	0.010549	4.62e-05	1.58e+01	3.07567	2.90	AT5G02230	haloacid dehalogenase-like hydrolase superfamily protein
254905_at	0.010639	4.74e-05	1.57e+01	3.05092	6.24	AT4G11170	putative disease resistance protein
264078_at	0.010639	4.76e-05	-1.57e+01	3.04693	-2.02	BGAL8	beta-galactosidase 8
253021_at	0.010639	4.89e-05	-1.56e+01	3.02163	-8.00e-01	AT4G38050	nucleobase-ascorbate transporter 11
261203_at	0.010639	4.90e-05	-1.56e+01	3.01946	-2.65	AT1G12845	hypothetical protein
262932_at	0.010639	4.95e-05	1.55e+01	3.00891	9.46e-01	AT1G65820	putative glutathione S-transferase
260406_at	0.010639	4.98e-05	1.55e+01	3.00395	6.23	GSTU12	glutathione S-transferase TAU 12
245566_at	0.010639	4.99e-05	1.55e+01	3.00133	2.62	AT4G14610	pseudo
259942_at	0.010642	5.05e-05	-1.54e+01	2.99018	-1.37	ATWHY2	single-stranded DNA-binding protein WHY2
265195_at	0.010642	5.09e-05	-1.54e+01	2.98289	-7.69e-01	AT2G36730	pentatricopeptide repeat-containing protein
247723_at	0.01066	5.14e-05	1.54e+01	2.9723	1.63	HAI1	putative protein phosphatase 2C 78
259192_at	0.010742	5.23e-05	-1.53e+01	2.9559	-6.03e-01	AT3G01740	mitochondrial ribosomal protein L37
260257_at	0.010775	5.29e-05	1.53e+01	2.94399	1.01	AT1G74340	dolichyl-phosphate mannosy synthase 2
260221_at	0.010864	5.41e-05	-1.52e+01	2.92174	-5.89	AT1G74670	gibberellin-regulated protein 6
257134_at	0.010864	5.52e-05	-1.51e+01	2.90183	-1.11	AT3G12870	hypothetical protein
251183_at	0.010864	5.60e-05	-1.51e+01	2.88722	-1.63	AT3G62630	hypothetical protein
258915_at	0.010864	5.62e-05	1.51e+01	2.88399	1.85	VPS60.1	vacuolar protein sorting protein 60.1
253729_at	0.010864	5.68e-05	-1.50e+01	2.87418	-1.64	AT4G29360	glucan endo-1,3-beta-glucosidase 12
252345_at	0.010864	5.73e-05	1.50e+01	2.86595	6.19	AT3G48640	hypothetical protein
267288_at	0.010864	5.76e-05	1.50e+01	2.86089	2.66	AT2G23680	Cold acclimation protein WCOR413 family
246785_at	0.010864	5.82e-05	1.49e+01	2.84956	1.53	GSH2	glutathione synthetase 2
262542_at	0.010864	5.83e-05	1.49e+01	2.84805	2.85	NAC016	NAC domain containing protein 16
258979_at	0.010864	5.84e-05	1.49e+01	2.84678	1.56	AT3G09440	heat shock protein 70-3
256222_at	0.010864	5.92e-05	-1.49e+01	2.83227	-1.54	AT1G56210	heavy-metal-associated domain-containing protein
254515_at	0.010864	5.93e-05	-1.49e+01	2.83041	-1.67	BAM3	leucine-rich receptor-like protein kinase BAM3
260629_at	0.010864	5.95e-05	-1.49e+01	2.82721	-1.54	AT1G62330	O-fucosyltransferase family protein
265482_at	0.010887	6.01e-05	1.48e+01	2.81719	6.12	AT2G15780	Cupredoxin superfamily protein
250968_at	0.010921	6.08e-05	-1.48e+01	2.80625	-1.06	AT5G02890	HXXXD-type acyl-transferase-like protein
259858_at	0.011013	6.18e-05	-1.47e+01	2.78999	-2.27	AT1G68400	leucine-rich repeat transmembrane protein kinase family protein
249942_at	0.011433	6.47e-05	1.46e+01	2.74483	3.93	GAPB///NIT4	glyceraldehyde-3-phosphate dehydrogenase B///bifunctional nitrilase/nitrile hydratase NIT4
247272_at	0.011599	6.64e-05	1.45e+01	2.71875	1.57	GCH	GTP cyclohydrolase-2
250690_at	0.011599	6.66e-05	-1.45e+01	2.71502	-2.55	AT5G06530	ABC transporter G family member 22
263015_at	0.011633	6.80e-05	1.44e+01	2.69377	1.31	AT1G23440	peptidase C15, pyroglutamyl peptidase I-like protein
250290_at	0.011633	6.95e-05	1.44e+01	2.67299	8.00e-01	AT5G13310	hypothetical protein
264319_at	0.011633	7.03e-05	-1.43e+01	2.66127	-2.15	SDD1	subtilisin-like protease SDD1
252033_at	0.011633	7.04e-05	-1.43e+01	2.66001	-1.84	AT3G51950	zinc finger CCCH domain-containing protein 46
254062_at	0.011633	7.06e-05	1.43e+01	2.65657	1.87	SAP10	stress-associated protein 10
261548_at	0.011633	7.09e-05	-1.43e+01	2.65157	-1.07	AT1G63480	AT hook motif DNA-binding family protein
251884_at	0.011633	7.10e-05	1.43e+01	2.65138	3.89	AT3G54150	S-adenosyl-L-methionine-dependent methyltransferase-like protein
261055_at	0.011633	7.12e-05	-1.43e+01	2.64816	-2.26	AT1G01300	aspartyl protease family protein
251973_at	0.011633	7.14e-05	1.43e+01	2.64517	1.34	AT3G53180	nodulin/glutamine synthase-like protein
259757_at	0.011642	7.20e-05	1.42e+01	2.63725	1.18	PDIL1-2	protein disulfide isomerase-like 1-2
256877_at	0.011701	7.28e-05	1.42e+01	2.625	4.77	AT3G26470	RPW8 domain-containing powdery mildew resistance protein
258170_at	0.012489	7.83e-05	-1.40e+01	2.55181	-9.88e-01	AT3G21600	Senescence/dehydration-associated protein-like protein
254292_at	0.012533	7.95e-05	1.39e+01	2.53599	4.55	AT4G23030	MATE efflux family protein
251612_at	0.012533	7.97e-05	1.39e+01	2.53417	5.18	AT3G57950	hypothetical protein
256258_at	0.012584	8.05e-05	1.39e+01	2.52303	4.40e-01	NF-YC11	nuclear factor Y, subunit C11
262228_at	0.012648	8.18e-05	1.38e+01	2.50674	3.29	AT1G68690	proline-rich receptor-like protein kinase PERK9
256241_at	0.012648	8.21e-05	-1.38e+01	2.50402	-9.88e-01	AT3G12390	Nascent polypeptide-associated complex subunit alpha-like protein 1
252048_at	0.012797	8.36e-05	-1.38e+01	2.48516	-2.03	AT3G52500	aspartyl protease family protein
246744_at	0.012851	8.47e-05	1.37e+01	2.47218	2.06	AT5G27760	hypoxia-responsive family protein
258692_at	0.012851	8.51e-05	1.37e+01	2.46728	1.27	AT3G08640	protein RETICULATA-RELATED 3
262422_at	0.012979	8.65e-05	1.36e+01	2.45035	1.28	AT1G23440	peptidase C15, pyroglutamyl peptidase I-like protein
261006_at	0.013014	8.73e-05	1.36e+01	2.44092	6.73	AT1G26410	FAD-binding and BBE domain-containing protein
262304_at	0.013219	9.00e-05	-1.35e+01	2.40973	-4.47	MLP43	MLP-like protein 43
259445_at	0.013219	9.03e-05	1.35e+01	2.40661	9.57e-01	GA2OX6	gibberellin 2-oxidase 6
261594_at	0.013219	9.09e-05	-1.35e+01	2.39926	-1.10	GTL1	trihelix transcription factor GTL1
253012_at	0.013219	9.10e-05	1.35e+01	2.39838	2.87	AT4G37900	hypothetical protein
260268_at	0.013237	9.17e-05	-1.35e+01	2.39032	-7.70e-01	AT1G68490	hypothetical protein
260394_at	0.013237	9.23e-05	1.34e+01	2.38403	6.36	MYB122	myb domain protein 122
245293_at	0.013384	9.44e-05	1.34e+01	2.36047	1.30	AT4G16660	heat shock protein 70
266336_at	0.013384	9.45e-05	-1.34e+01	2.35978	-1.20	ZIP3	zinc transporter 3
249347_at	0.013624	9.68e-05	-1.33e+01	2.33507	-1.79	AT5G40830	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
255599_at	0.013627	9.76e-05	1.33e+01	2.32585	3.57	CNGC13	cyclic nucleotide-gated channel 13
247191_at	0.013627	9.83e-05	-1.33e+01	2.31834	-2.04	HB5	homeobox-leucine zipper protein ATHB-5
259308_at	0.013627	9.91e-05	-1.32e+01	2.31067	-2.50	AT3G05180	GDSL esterase/lipase
251106_at	0.013627	9.96e-05	1.32e+01	2.30501	3.22	TAAC	thylakoid ADP,ATP carrier protein
266181_at	0.013627	9.98e-05	1.32e+01	2.30349	1.64	GSTZ1	glutathione S-transferase zeta-class 1
247283_at	0.013668	1.01e-04	1.32e+01	2.29423	2.46	AT5G64250	Aldolase-type TIM barrel family protein
258730_at	0.013785	1.02e-04	-1.31e+01	2.27926	-7.24e-01	ATFP8	Ras-related protein RABD1
250462_at	0.013829	1.03e-04	-1.31e+01	2.26903	-8.20e-01	AT5G10020	putative inactive receptor kinase
263274_at	0.013829	1.04e-04	1.31e+01	2.26374	1.63	CRCK3	calmodulin-binding receptor-like cytoplasmic kinase 3
259764_at	0.014055	1.07e-04	1.30e+01	2.23549	1.41	NPR1	Regulatory protein NPR1
248583_at	0.014055	1.07e-04	1.30e+01	2.23492	9.44e-01	emb1441	protein EMBRYO DEFECTIVE 1441
267391_at	0.014402	1.10e-04	1.29e+01	2.20359	3.55	BGLU17	beta glucosidase 17
246505_at	0.014405	1.11e-04	-1.29e+01	2.19161	-2.58	AT5G16250	hypothetical protein
250317_at	0.014405	1.11e-04	-1.29e+01	2.19147	-1.66	TUB6	beta-6 tubulin
263073_at	0.014441	1.12e-04	1.29e+01	2.18296	2.20	AT2G17500	auxin efflux carrier family protein
261131_at	0.014443	1.13e-04	-1.28e+01	2.17333	-1.91	AT1G19835	hypothetical protein
252355_at	0.014443	1.13e-04	-1.28e+01	2.17115	-1.09	AT3G48250	pentatricopeptide repeat-containing protein
264583_at	0.014481	1.15e-04	1.28e+01	2.15949	1.77	AT1G05170	putative beta-1,3-galactosyltransferase 2
251773_at	0.014481	1.15e-04	1.28e+01	2.15682	1.02	AT3G55960	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
264317_at	0.014679	1.17e-04	-1.27e+01	2.13653	-1.01	SPDS2	Spermidine synthase 2
259911_at	0.014679	1.18e-04	1.27e+01	2.13113	2.28	CAD1	cinnamyl-alcohol dehydrogenase
266996_at	0.014836	1.20e-04	-1.27e+01	2.11179	-3.73	CYP710A2	cytochrome P450 710A2
251256_at	0.014836	1.20e-04	-1.26e+01	2.1087	-1.51	DUF7	DUF724 family protein
246565_at	0.015072	1.23e-04	-1.26e+01	2.08652	-1.15	BCCP2	biotin carboxyl carrier protein 2
261005_at	0.015076	1.24e-04	1.26e+01	2.07824	4.15	AT1G26420	FAD-binding and BBE domain-containing protein
259980_at	0.015076	1.24e-04	1.26e+01	2.07499	1.08	AT1G76520	auxin efflux carrier family protein
246978_at	0.015089	1.25e-04	1.25e+01	2.06855	2.33	CYP714A1	cytochrome P450, family 714, subfamily A, polypeptide 1
252968_at	0.015302	1.27e-04	-1.25e+01	2.04832	-1.18	AT4G38890	tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like
258852_at	0.015493	1.31e-04	1.24e+01	2.01674	6.87e-01	AT-P4H-2	prolyl-4 hydroxylase 2
256050_at	0.015493	1.32e-04	1.24e+01	2.01058	2.09	EXO70B2	exocyst subunit exo70 family protein B2
247618_at	0.015493	1.32e-04	1.24e+01	2.00898	4.05	AT5G60280	concanavalin A-like lectin kinase-like protein
249260_at	0.015493	1.33e-04	1.24e+01	2.00473	1.91	AT5G41680	probably inactive receptor-like protein kinase
249333_at	0.015493	1.33e-04	1.24e+01	2.00402	5.54	GLIP1	GDSL lipase 1
251288_at	0.015493	1.33e-04	-1.24e+01	2.00258	-8.80e-01	RRP41	exonuclease RRP41
258332_at	0.015923	1.38e-04	-1.23e+01	1.96838	-1.92	AT3G16180	nitrate transporter 1.12
266790_at	0.016207	1.42e-04	-1.22e+01	1.93815	-3.50	EXPA6	expansin A6
247743_at	0.016207	1.42e-04	-1.22e+01	1.9336	-1.09	AT5G59010	brassinosteroid-signaling kinase 5
247442_s_at	0.016207	1.43e-04	-1.22e+01	1.92963	-1.10	TUB3///TUB2	tubulin beta-2/beta-3 chain///tubulin beta-2/beta-3 chain
252587_at	0.016207	1.43e-04	1.22e+01	1.92851	1.43	AT3G45620	DWD motif protein
253466_at	0.016227	1.44e-04	1.21e+01	1.91754	5.84e-01	KNAT5	homeobox protein knotted-1-like 5
264750_at	0.016227	1.46e-04	1.21e+01	1.90835	9.45e-01	AT1G22870	protein kinase family protein
250994_at	0.016227	1.46e-04	1.21e+01	1.90226	3.01	AT5G02490	heat shock protein 70
263948_at	0.016227	1.47e-04	1.21e+01	1.89899	8.48	YLS9	protein NDR1/HIN1-like 10
256664_at	0.016227	1.47e-04	1.21e+01	1.89738	2.66	AT3G12040	DNA-3-methyladenine glycosylase
252612_at	0.016227	1.47e-04	-1.21e+01	1.89608	-3.29	AT3G45160	putative membrane lipoprotein
254897_at	0.016259	1.48e-04	1.21e+01	1.88821	4.04	CRK31	putative cysteine-rich receptor-like protein kinase 31
260398_at	0.016259	1.49e-04	-1.20e+01	1.88381	-5.81e-01	PUM23	pumilio 23
250087_at	0.016526	1.52e-04	-1.20e+01	1.86149	-1.61	AT5G17270	tetratricopeptide repeat-containing protein
255667_at	0.016652	1.54e-04	1.19e+01	1.84737	1.99	PLDBETA2	phospholipase D beta 2
246018_at	0.016652	1.55e-04	1.19e+01	1.84338	2.00	AT5G10695	hypothetical protein
256676_at	0.016654	1.56e-04	-1.19e+01	1.83823	-2.81	SEX4	phosphoglucan phosphatase DSP4
262038_at	0.016678	1.56e-04	1.19e+01	1.83177	8.15e-01	CINV1	alkaline/neutral invertase CINV1
248589_at	0.016696	1.58e-04	-1.19e+01	1.82479	-5.59e-01	PFD3	putative prefoldin subunit 3
263852_at	0.016696	1.58e-04	1.19e+01	1.82073	3.88	NUDT6	nudix hydrolase 6
261269_at	0.016724	1.59e-04	1.19e+01	1.81404	1.61	AT1G26690	transmembrane emp24 domain-containing protein
255053_at	0.017058	1.63e-04	-1.18e+01	1.78811	-1.94	RH39	DEAD-box ATP-dependent RNA helicase 39
251182_at	0.017138	1.65e-04	1.18e+01	1.77825	1.15	ATERDJ3B	DNAJ heat shock protein ATERDJ3B
264315_at	0.017381	1.68e-04	-1.17e+01	1.75839	-2.54	PG2	polygalacturonase 2
254328_at	0.01744	1.69e-04	-1.17e+01	1.74995	-2.02	APT3	adenine phosphoribosyl transferase 3
261216_at	0.017604	1.71e-04	1.17e+01	1.73514	3.46	AT1G33030	O-methyltransferase-like protein
261449_at	0.017762	1.74e-04	1.16e+01	1.71664	4.39	AT1G21120	O-methyltransferase family protein
260592_at	0.017762	1.76e-04	1.16e+01	1.7053	1.70	CSLE1	cellulose synthase-like protein E1
265831_at	0.017762	1.76e-04	-1.16e+01	1.70379	-1.06	AT2G14460	hypothetical protein
248046_at	0.017762	1.77e-04	-1.16e+01	1.7007	-2.12	AT5G56040	leucine-rich receptor-like protein kinase
254030_at	0.017762	1.78e-04	-1.16e+01	1.6947	-9.18e-01	AT4G25890	60S acidic ribosomal protein P3-1
247864_s_at	0.017762	1.78e-04	1.15e+01	1.6929	2.81	ASB1///AT1G25155///AT1G25083///AT1G24909///AT1G24807///AT5G57890	anthranilate synthase beta subunit 1///Glutamine amidotransferase type 1 family protein///putative anthranilate synthase beta subunit///putative anthranilate synthase beta subunit///putative anthranilate synthase beta subunit///glutamine amidotransferase type 1 family protein
253218_at	0.017762	1.78e-04	-1.15e+01	1.69239	-2.16	SLP2	subtilisin-like serine protease 2
248131_at	0.01778	1.80e-04	1.15e+01	1.68367	8.07e-01	AT5G54830	DOMON and dopamine beta-monooxygenase N-terminal domain-containing protein
245186_at	0.01778	1.82e-04	-1.15e+01	1.66929	-1.92	ARR11	two-component response regulator ARR11
264725_at	0.01778	1.84e-04	1.15e+01	1.65776	9.97e-01	AT1G22885	hypothetical protein
263034_at	0.01778	1.84e-04	-1.15e+01	1.65728	-4.94	MLP423	MLP-like protein 423
253545_at	0.01778	1.86e-04	-1.14e+01	1.64966	-1.63	AT4G31310	AIG2-like protein
258880_at	0.01778	1.86e-04	1.14e+01	1.6483	1.53	ATG8H	autophagy-related protein 8h
256343_at	0.01778	1.86e-04	-1.14e+01	1.64589	-1.33	AT1G72090	Methylthiotransferase
263679_at	0.01778	1.86e-04	-1.14e+01	1.64437	-2.19	AT1G59990	DEAD-box ATP-dependent RNA helicase 22
252548_at	0.01778	1.87e-04	-1.14e+01	1.64201	-1.48	AT3G45850	P-loop containing nucleoside triphosphate hydrolases superfamily protein
263979_at	0.01778	1.88e-04	-1.14e+01	1.63357	-4.05	PDF1	protodermal factor 1
248853_at	0.01778	1.89e-04	-1.14e+01	1.63209	-1.62	BSK2	BR-signaling kinase 2
251704_at	0.01778	1.90e-04	1.14e+01	1.62618	8.21e-01	AT3G56360	hypothetical protein
252313_at	0.01778	1.90e-04	1.14e+01	1.62371	1.40	CID10	putative RNA-binding protein RBP37
258747_at	0.01778	1.91e-04	-1.14e+01	1.61926	-9.73e-01	AT3G05810	hypothetical protein
266101_at	0.01778	1.91e-04	1.14e+01	1.61662	1.53	AtIPCS2	inositol phosphorylceramide synthase 2
264900_at	0.01778	1.92e-04	-1.14e+01	1.61385	-2.52	PIN7	auxin efflux carrier component 7
